X,Y,OBJECTID,COD_SIG,IDTIPO,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_MUNICIPAL,DTM_UPD,GlobalID
-9.142290624468911,38.709213959029704,11,2000107005001,2,São Luiz Teatro Municipal,"Rua António Maria Cardoso, 38",+351 213 257 650,,info@teatrosaoluiz.pt, www.teatrosaoluiz.pt,"Inicialmente chamado Teatro de D. Amélia, foi construído em 1893. O projecto era de Luiz Ernesto Reynaud, e as decorações de Manini e Rossi, à maneira dos teatros europeus do século passado. O teatro ardeu quase totalmente em 1914, tendo apenas escapado o Salão de Inverno, com pinturas de Manini. Foi reedificado entre 1915-1916, com projecto do arq. Tertuliano Marques e decorações do pintor espanhol Marin. O salão de Inverno foi destruído para dar lugar a uma sala com um interessante foyer em estilo pompeiano, com lápides comemorativas dos grandes nomes que passaram pelo teatro.Em 1971,  é comprado pela CML - Lotação/Capacidade 690 lugares.
",-,1,2018-11-23T12:28:11.000Z,10612c4d-2f48-4a59-92c7-2da1800ff248
-9.13008006556039,38.715678403860132,12,1601703010001,2,Teatro da Voz,"Travessa de São Vicente, 11",+ 351 213 530 931,,eira@eira.pt,www.eira.pt,"O antigo Teatro da Graça, agora Teatro da Voz funciona como espaço de trabalho regular da equipa da EIRA, na sequência de um protocolo assinado em 2013 entre a EIRA e a Sociedade de Instrução e Beneficência ""A Voz do Operário"" / Escola da Graça. Depois de passar cerca de 15 anos de portas fechadas, o antigo Teatro da Graça volta a entrar em funcionamento, agora como ""estúdio polivalente""  preparado e equipado para acolher desde ensaios e aulas de dança a apresentações de dança e ou teatro, entre outros eventos. ",-,0,2017-04-04T17:13:12.000Z,6379d89c-21d4-4c4c-8530-3644bb8b53ba
-9.146421688999691,38.719351372345578,13,4600702072001,2,Teatro Maria Vitória,"Travessa do Salitre, 35, Parque Mayer",21 347 54 54 / 21 347 04  68,,teatromv@sapo.pt,www.teatromariavitoria.com,"Localiza-se no Parque Mayer e tem capacidade para 658 lugares.
",-,0,2018-05-04T11:15:45.000Z,ef6b4ae8-a317-4742-8489-c2402ce0bae9
-9.14495579296625,38.720485398064497,14,4501201044001,2,Teatro Tivoli BBVA,"Avenida da Liberdade, 182 A",+351 213 303 500,,teatro.tivolibbva@uau.pt,https://www.teatrotivolibbva.pt/,"Erguido por Federico Lima Mayer este cinema foi inaugurado em 1924, segundo projeto do arq. Raúl Lino. Esta obra revela uma excelente presença urbana, traduzindo uma planta composta, quase quadrangular, estruturada em dois pisos, cave, cobertura e cúpula e em telhado escalonado, desenvolvendo-se por vários corpos, articulados horizontalmente, em gaveto. Trata-se de um edifício que se caracteriza pela profusão e ecletismo dos seus elementos de referência neoclássica, no exterior, e Luís XIV, no âmbito da decoração interior. Esta sala sóbria e bem proporcionada foi durante largos anos a sala mais elegante de Lisboa. ",-,0,2018-05-04T11:15:16.000Z,b4a100ac-840c-4d3c-a106-ef393bcf6150
-9.132911098991769,38.714868873058244,15,5300904041001,2,Teatro Taborda (Teatro da Garagem),"Costa do Castelo, 75",+351 218 854 190,,geral@teatrodagaragem.com,https://teatrodagaragem.com ,"Inaugurado em 1870 este edifício cumpriu a sua função de sala de espectáculos de bairro até à atualidade. Após um período de decadência extrema sofreu obras, segundo projecto dos arqs. Nuno Teotónio Pereira e Bartolomeu Costa Cabral levadas a a efeito pela CML - DMRU, sendo reinaugurado em 1995. Esta intervenção, que valeu a atribuição de uma menção honrosa do Prémio Eugénio dos Santos em 1997, respeitou os elementos tradicionais existentes, mas, superando a ideia de simples restauro ou reconstrução, ampliou espaços interiores, criou transparências entre frente e traseiras, abriu o edifício ao exterior.

Lotação/Capacidade 150 lugares
Café da Garagem / Café Bar
Companhia residente desde 2005 - Teatro da Garagem.",Fonte: http://agendalx.pt/cgi-bin/iportal_agendalx,1,2019-03-20T16:24:41.000Z,cf1b239c-f8fa-4f58-8524-5c13fb1a6a7f
-9.169375690871167,38.745246655612036,16,3905410170001,2,Teatro Thalia,"Estrada das Laranjeiras, 211",+351 217 811 690,,teatro.thalia@sec-geral.mec.pt,http://www.sec-geral.mec.pt/pagina/teatro-thalia,"A  Quinta
A Quinta das Laranjeiras, inicialmente denominada Quinta de Santo António, pertencia no final do século XVII a Manuel da Silva Colaço. Passou para a posse de vários proprietários até que, em 1802, Joaquim Pedro Quintela, o 1º Barão de Quintela, decidiu substituir as decrépitas casas existentes pela construção de um palácio. A obra esteve a cargo do Padre Bartolomeu Quintela, tio do 1º Barão, razão pela qual palácio e quinta foram reconstruídos segundo a traça do Congregado do Oratório.
Com o  2º Barão de Quintela, 1º Conde de Farrobo, o fausto e bom gosto foram introduzidos no palácio. Dono de uma enorme fortuna, o Conde de Farrobo ficou famoso pelas suas extravagâncias. Na primeira metade do século XIX mandou vir leões, tigres e panteras para exibir em jaulas e encomendou estátuas, bustos e fontes para embelezar a Quinta.
Em 1874 a Quinta das Laranjeiras foi vendida em hasta pública ao fidalgo espanhol Duque de Abrantes e Liñares, que a mandou restaurar. Desde então, e ao longo de vários anos, foi sendo vendida, ampliada e restaurada até que, em 1940 o Palácio das Laranjeiras foi adquirido pelo Ministério das Colónias, para aí instalar o Museu da Marinha. Vários ministérios tiveram sede no edifício sendo que, desde Abril de 2005, nele se encontra o Ministério da Ciência, Tecnologia e Ensino Superior. 

O Teatro  
O entusiasmo do Conde de Farrobo pelas manifestações das artes cénicas levou-o à construção, em 1820, de um teatro junto ao Palácio das Laranjeiras, ao qual deu o nome da musa da comédia na mitologia grega.
Em 1842 foi reedificado e renovado sob o risco de Fortunato Lodi, o autor do Teatro Dona Maria II. Na sua inauguração, a 26 de Fevereiro de 1843, foi oferecida uma grande festa à Rainha Dona Maria II. Teatro e palácio foram iluminados a gás em 1830, muito antes da cidade de Lisboa ter este meio de iluminação pública. Dezanove anos depois, teatro e sala de baile eram destruídos por um incêndio a 9 de Setembro de 1862.
A falência do Conde de Farrobo, que morreu em completa miséria, deixou o Teatro Thalia abandonado à sua sorte.
Os restauros e readaptações executados, sobretudo a partir do momento em que o Estado tomou posse do conjunto, incidiram quase exclusivamente no antigo palácio e nos seus jardins.

Do antigo teatro ainda existem referências visíveis à beleza do essencial e sólido nessa construção: os volumes do Foyer, Plateia e Cena.
Presentemente destina-se a ser usufruído para fins científicos e culturais quer pelos organismos do próprio Ministério da Educação e Ciência, quer pela comunidade em geral.
A requalificação do antigo Teatro Thalia, uma iniciativa do Ministério da Ciência, Tecnologia e Ensino Superior, teve projecto de arquitectura de Gonçalo Byrne Arquitetos, Lda e Patrícia Barbas e Diogo Lopes Arquitetos, Lda.

", .,0,2017-04-05T14:49:17.000Z,8388a332-fe2d-4154-96a6-1c76166fc009
-9.180711288896342,38.714499617567704,17,0202625005001,2,Teatro Lanterna Mágica,Bairro do Alvito,213 616 820 / 967 024 374,,lanterna.magica@clix.pt,www.lanternamagica.pt/margemsul.html,,www.lanternamagica.pt/margemsul.html,0,2017-02-06T11:55:35.000Z,862fa366-ec21-499e-9721-0d273bd48ef2
-9.141733893571597,38.709339545493833,18,2000108003001,2,Teatro Nacional de São Carlos,"Rua Serpa Pinto, 9",+351 213 253 000,,info@saocarlos.pt,tnsc.pt,"Teatro lírico construído no séc. XVIII, segundo projeto do arq. José da Costa e Silva, foi inaugurado em 1793. Objeto de diversas intervenções ao longo da sua existência, encontra-se classificado como Monumento Nacional. De características neoclássicas e inspiração seiscentista e italiana, nomeadamente no Teatro di San Carlo de Nápoles e no Teatro alla Scala de Milão, foi concebido como teatro de corte para a burguesia e como primeiro teatro público, aberto a todo o cidadão que pagasse ingresso. De planta longitudinal, apresenta uma fachada sóbria, dividida em 3 corpos e desenvolvida em 2 pisos sobrepostos sobre mezanino e um 3º piso sobre o corpo central. Este corpo central, rasgado por um pórtico, apresenta ao nível térreo uma loggia composta de 3 arcos frontais e um lateral, em volta perfeita, surgindo coroado por um terraço perfeito de balaustrada em cantaria, ostentando colunas da ordem dórica adossadas ao mesmo e exibindo, no 3º piso, um relógio envolvido por grinaldas e duas janelas, encimado por dois pináculos e um brasão. No interior, o neoclássico confunde-se com algumas remanescências barroquizantes da decoração. São de destacar a sala de espetáculos, de planta elíptica com 5 ordens de camarotes, italianizantes, o salão nobre, assim como as pinturas atribuídas a Wolkmar Machado no teto do vestíbulo e no pano da boca de cena, a Manuel da Costa no teto do salão e a Giovanni Appianni no camarote real.
",-,0,2018-10-31T11:38:53.000Z,6ef8bf48-b883-4036-8072-7d35aa87d072
-9.145621116706689,38.70763658580627,19,4900906006001,2,Espaço Ribeira,"Rua da Ribeira Nova, 44",+351 210 964 851,,primeiros-sintomas@primeiros-sintomas.com,www.primeiros-sintomas.com,"A Ribeira é o espaço da companhia Primeiros Sintomas, com direção artística de Bruno Bravo. Estrearam em 2001, com o espetáculo ¿A¿Rosas Suicidam-se¿, com encenação e interpretação de Bruno Bravo e Élvio Camacho. Desde então têm levado a cena várias produções, alternando entre peças de teatro clássicas ou contemporâneas e adaptações de obras literárias, destacando-se a colaboração de Miguel Castro Caldas como autor de muitos dos espetáculos. O espaço Ribeira apresenta também espetáculos de música, sessões de cinema e exposições.",-,0,2018-01-19T13:39:58.000Z,e0a55542-cda8-449e-9d5a-0cf765b56098
-9.139771946939947,38.714769543253183,20,3100411001001,2,Teatro Nacional D. Maria II,Praça D. Pedro IV,+351 213 250 800 / 835,,geral@teatro-dmaria.pt,www.teatro-dmaria.pt,"Lotação/Capacidade: 948 lugares.

Graças aos esforços de Almeida Garrett, este teatro foi construído a partir de 1842, segundo projeto do arq. italiano Fortunato Lodi, e inaugurado em 13 de Abril de 1846, por ocasião das comemorações do 27º aniversário de D. Maria II, passando por isso a exibir o seu nome na designação oficial. Designação essa, interrompida entre 1910 e 1939, altura em que passou a ser designado por Teatro Nacional de Almeida Garrett. Edificado no local onde fora o Palácio dos Estaus, antiga Sede da Inquisição, este teatro é uma das obras mais emblemáticas do neoclassicismo de raiz palladiana em Lisboa. De planta retangular, volumetria paralelepipédica e corpos adossados, apresenta superfícies planas rasgadas por vãos simétricos, que exibem uma decoração simplificada. Na fachada principal merecem destaque o pórtico com seis colunas jónicas provenientes do extinto Convento de São Francisco da Cidade, um friso decorativo e um frontão triangular com tímpano esculpido, encimado por três estátuas em acrotério (Gil Vicente, Thalia e Melpomene). Objeto de um grande incêndio em 1964, que destruiu todo o seu interior e cobertura, o edifício viria a ser totalmente reconstruído, respeitando o seu estilo primitivo, tendo reaberto as portas em 1978. Classificado inicialmente como Imóvel de Interesse Público, foi reclassificado para Monumento Nacional.
",-,0,2018-10-30T15:26:47.000Z,f2b11757-cbf1-44ab-a08d-806f326359e5
-9.093384840214924,38.760975207901687,21,3308505029001,2,Teatro Camões,"Passeio de Neptuno, 2.07.01, Jardim da Água, Empena, Largo do Nautilius, 2.07.01, Rua Pedro e Inês, Empena",21 892 34 70,,cnb.info@cnb.pt,,"Projectado pelo arq. Manuel Salgado para a Exposição Mundial de Lisboa (Expo 98), tem uma capacidade de 890 lugares. As suas excepcionais características cenográficas e acústicas criaram aqui o espaço de eleição para a realização dos principais espectáculos de ópera, teatro, música e variedades. Lotação/Capacidade 1000 lugares
",-,0,2017-03-28T15:43:40.000Z,b3d998cb-9277-4830-990c-8b48e3ff3d3e
-9.199378682945612,38.699027334951317,22,3202705001001,2,LU.CA - Teatro Luís de Camões,"Calçada da Ajuda, 80",+351 215 939 100,,info@lucateatroluisdecamoes.pt,www.lucateatroluisdecamoes.pt,"Pequeno teatro de gosto neoclássico tardio, inaugurado em 10 de Junho de 1880, por ocasião do tricentenário da morte do poeta. Mandado construir por João da Cunha Açúcar, foi inaugurado pela Companhia Soares. Passou à propriedade de Joaquim Maria Nunes e foi sede do Belém Club.

Propriedade da CML é, desde 1 de junho de 2018, o mais recente teatro municipal. O renovado Teatro Luís de Camões é hoje o LU.CA teatro totalmente dedicado à programação para crianças e jovens. ",.,1,2019-05-10T10:35:30.000Z,762b2779-1754-48e6-a194-26ae090da68a
-9.158464821702218,38.736190705044407,23,1003107001001,2,Teatro Aberto,Praça Espanha,+351 213 880 089,,relacoespublicas@teatroaberto.com / bilheteira@teatroaberto.com,www.teatroaberto.com/,"Lotação/Capacidade 450 lugares.
",-,0,2018-11-23T12:35:07.000Z,6c129a09-ffbc-4936-9967-3238d55adc6a
-9.160488866174527,38.736600665735708,24,1003105031001,2,Comuna Teatro de Pesquisa,Praça Espanha,21 722 17 70/6/7/9,,geral@comunateatropesquisa.pt,www.comunateatropesquisa.pt/,"Lotação/Capacidade 230 lugares.
",-,0,2017-03-07T14:27:46.000Z,34d1b0e7-13fb-4e21-9eb7-c0ffdb4c5314
-9.153876881204448,38.705699281626281,25,3701703018001,2,Espaço POGO,"Rua da Cintura do Porto de Lisboa, Edifício 403",+351 916 403 994,,info@pogo.pt,http://www.pogo.pt,,-,0,2019-08-14T15:57:08.000Z,f464b36f-fdc9-4b70-867a-02decadb6347
-9.154930581676537,38.71611599666808,26,3001101216001004,999,Espaço Eclipse,Rua de São Bento 245 4º ,,, eclipsearte@hotmail.com,,,http://agendalx.pt/cgi-bin/iportal_agendalx,0,2013-01-08T10:57:18.000Z,ffc6dd79-414e-423a-91d7-cb6e94bad881
-9.133876115084039,38.711366788849304,27,3800808001002001,999,Companhia do Chapitô,Costa do Castelo 7 R/C,(+351) 218 855 550,,mail@chapito.org,http://chapito.org/,"A Companhia do Chapitô é por excelência um espaço que convida à multidisciplinaridade e interculturalidade. 
Desde 2003, tem vindo a constituir-se como um laboratório, onde se troca e partilha experiências com grupos e pessoas de diversificadas linhas criativas, abrindo as portas a novos e jovens artistas (autores, dramaturgos, actores, bailarinos, músicos, cenógrafos, figurinistas).
Tem  também desenvolvido um Teatro para a Infância, onde todos são mestres e aprendizes.

Os espetáculos realizam-se na Tenda.

",Chapitô,0,2018-03-15T11:12:14.000Z,eb26c4aa-6f82-498b-8975-ed83617631a2
-9.161416688420772,38.716253419945716,28,3001301014001002,999,Estrela Hall - The Lisbon Players,Rua da Estrela 10 R/C,21 396  19 46,,lisplayers@gmail.com,www.lisbonplayers.com.pt,,-,0,2012-07-27T13:33:38.000Z,121b54d3-53d4-4930-a5b6-0c3622db16a6
-9.153230673613244,38.71415087510367,29,2200302049001001,999,Sociedade de Instrução Guilherme Cossoul,"Rua Nova da Piedade, 66 - R/C",+351 213 973 471,,geral@guilhermecossoul.pt,www.guilhermecossoul.pt,,.,1,2019-08-22T16:16:39.000Z,76d2749a-3b2d-4574-9619-e8e32dc39d5a
-9.18432868506957,38.761204667546281,30,1103004002001001,999,Teatro da Luz (Teatro Dom Luiz Filipe),Largo da Luz Convento ,917 549 448 | 917 811 367 | 917 549 657,,geral@companhiadaesquina.com,https://www.facebook.com/DaEsquina?fref=ts,,-,0,2018-11-23T12:22:52.000Z,78073179-bb19-415f-99db-251317d3cf72
-9.146685053481436,38.728885397650068,31,4403503013001007,999,Teatro Mundial,Rua Martens Ferrão 12 R/C,21 357 40 89,,,,"3 salas -  Lotação/Capacidade 513 lugares
",-,0,2011-08-10T00:00:00.000Z,f258fda5-de0a-4311-bf19-be4521e09b57
-9.111677820047031,38.726581720974529,32,0702708073001001,999,Teatro Ibérico,Rua de Xabregas 54 R/C,+351 218 682 531,,teatroiberico@sapo.pt,teatroiberico.org,"Lotação/Capacidade 169 lugares.
",-,0,2013-12-18T12:51:52.000Z,4e2b691e-5c16-4d86-9f67-55171faffddd
-9.186964025906185,38.762078364649852,33,1102906009001001,999,Teatro de Carnide,Azinhaga das Freiras,+351 217 16 1 958,,teatrodecarnide@gmail.com,,"Lotação/Capacidade 150 lugares.
",-,0,2013-09-17T12:57:14.000Z,40588cf7-ddd7-4f9a-ae07-b37d92786264
-9.142436561176709,38.70907763608146,34,2000107005001004,999,Estúdio Mário Viegas,Largo do Picadeiro,+351 213 257 650,,,www.teatrosaoluiz.pt,"Lotação/Capacidade 112 lugares. A bilheteira situa-se na entrada principal do São Luiz Teatro Municipal (Rua António Maria Cardoso, 38)
",-,1,2016-03-18T13:35:53.000Z,5c16a540-c843-46f1-9e1a-7b0ff653cfa3
-9.133803720753619,38.71985318446248,35,0602902017001018,999,Teatro Bocage,"Rua Manuel Soares Guedes, 13A",+351 912 449 909,,mail@teatrobocage.com,www.teatrobocage.com,,-,0,2019-09-03T11:35:47.000Z,6106af0b-5bc4-4112-be73-ad9449b8709b
-9.107370622838488,38.733820928334779,36,0702001057001001,999,Palco Oriental,Calçada do Duque de Lafões 78 R/C,21 019 19 57 / 21 097 06 54,, palcooriental@clix.pt,http://sites.google.com/site/palcooriental1989/,"Lotação/Capacidade 180 lugares.
",-,0,2012-07-27T13:33:11.000Z,83e009ea-c8b3-48d1-982a-73b5a2e1078f
-9.148879387090588,38.711039522670688,37,2801501001001010,999,Mini-teatro da Calçada,"Calçada do Combro, 147,  R/C",+351 916 760 221,,miniteatro147@gmail.com,,"Associação Cultural constituída por um coletivo de artistas luso-brasileiros e outros, que promove áreas como o teatro, música, cinema, dança e  artes em geral.",-,0,2016-02-15T16:21:31.000Z,eb9e30e6-d41f-4212-bfbf-98a1997e579e
-9.138965650581937,38.746003484838845,38,0402002002001002,999,Maria Matos  - Teatro Municipal,Avenida Frei Miguel Contreiras 52B ,+351 218 438 800 ,,"info@teatromariamatos.pt; ",www.teatromariamatos.pt,"Inaugurado em 1969, em Setembro de 1982 passa a Teatro Municipal. Além de peças de teatro, apresenta várias revistas. Neste espaço municipal têm passado musicais, dança, concertos sinfónicos e ainda saraus - Lotação/Capacidade 680 lugares.

Bilheteira: bilheteira@teatromariamatos.pt",-,1,2013-12-23T17:08:21.000Z,c3404fbf-5712-4c99-90e5-6d6c5a23c52b
-9.140850887376546,38.716495732238812,39,3100401009001001,999,Teatro Politeama,"Rua das Portas de Santo Antão, 109 ",+351 213 245 500/+351 213 430 533,,teatro.politeama@gmail.com,www.teatro-politeama.com,"Projecto do arq. Ventura Terra, edificado em 1912-13. É um dos exemplos em que a influência do gosto francês neste início de século determinou a gramática decorativa levando-a à exuberância ornamental, daí ter sido chamado na época «estilo bolo de noiva». Na fachada a cantaria decalca a ornamentação de estuques com que se revestem os seus interiores, numa perfeita comunhão entre as grinaldas Luís XVI e o ferro ornamental do grande janelão central. Lotação/Capacidade 564 lugares.
",-,0,2018-11-23T13:09:11.000Z,0aaf40e2-ace8-46a9-be83-e7e0bb49add1
-9.133988095474118,38.710695036425179,40,5200302015001002,999,Gota TeatroOficina,Calçada do Correio Velho 16 R/C,21 882 54 06,,,http://fazdegota.blogspot.com/,,-,0,2012-07-27T13:33:01.000Z,aebab235-9510-42f4-b94f-796cf0e8b805
-9.103860543002375,38.739168980951028,41,2108601155001001,999,Teatro Meridional,Rua do Açúcar Galeria de Exposições R/C,21 868 92 45,,geral@teatromeridional.net,www.teatromeridional.net,,-,0,2012-07-27T13:33:25.000Z,ecc459af-61b5-46e4-82fe-fff8896e021b
-9.146794367671729,38.730246480114019,42,4403501033001011,999,Teatro Villaret,Avenida Fontes Pereira de Melo 30A ,21 353 85 86,,teatrovillaret.reservas@gmail.com<br>teatrovillaret@gmail.com,www.teatrovillaret.com,"Lotação/Capacidade 444 lugares.
",-,0,2012-07-27T13:33:20.000Z,94117a60-d1aa-466e-a4cd-f2849ef75dae
-9.139893520438896,38.730754312428566,43,4403802089001002,999,Clube Estefânia,Rua Alexandre Braga 24A - R/C,+351 915 039 568 ,,emulheres.oficina@gmail.com,www.escolademulheres.com,"Fundado em 1890, o Clube Estefânia é um dos clubes de bairro mais conhecidos de Lisboa. Na sua sala de espetáculos representaram grandes nomes do teatro português, entre eles Eunice Muñoz, que fez aqui a sua estreia. Desde sempre ligado ao teatro, o Clube tem atualmente um protocolo com a Escola de Mulheres - Oficina de Teatro que apresenta neste espaço várias produções. Dispõe de uma sala de teatro com capacidade para 180 lugares, de um salão de baile com 120 m² e um pequeno palco, o espaço tem bar e  sala de jogos.",-,0,2016-02-16T10:41:42.000Z,e9f52bcc-3119-46f1-b036-e8881c8f83a5
-9.195369809056388,38.753511756419847,44,0806205009001001,999,Sala-Estúdio Os Papa-Léguas,Rua Professor Santos Lucas 36A R/C Loja,21 097 06 54,, teatropapaleguas@teatropapaleguas.net,www.teatropapaleguas.net,"Sala Estúdio - Lotação/Capacidade - 40 lugares.
",-,0,2011-08-10T00:00:00.000Z,d0eddbe8-a9de-41f6-99dc-a92d3e825e31
-9.150319588611952,38.717737783796721,45,4600702162001005,999,Teatro da Politécnica,"Rua da Escola Politécnica, 54 ",+351 213 916 750,,,,"O edifício que alberga o Teatro da Politécnica fica ao lado do Jardim Botânico, e integrou o antigo complexo da Faculdade de Ciências da Universidade de Lisboa. 
O pavilhão foi sede de sucessivas instituições, serviço e atividades da então Faculdade de Ciências, desde a Associação de Estudantes até a uma galeria de exposições que hoje coexiste com a sala de teatro propriamente dita. 
",-,0,2018-10-31T16:24:04.000Z,9e6b575a-6e65-4e3a-b064-6463470e288e
